Date,Sector,CumulativeReturn
2020-01-02,Consumer,-0.009726197711172668
2020-01-03,Consumer,-0.013317432694091913
2020-01-06,Consumer,-0.019412523096998036
2020-01-07,Consumer,-0.011164329834359332
2020-01-08,Consumer,-0.003676880983233932
2020-01-09,Consumer,-0.01509152230976607
2020-01-10,Consumer,-0.037733363863863945
2020-01-13,Consumer,-0.04810964891244396
2020-01-14,Consumer,-0.056149666176017465
2020-01-15,Consumer,-0.07405331742078702
2020-01-16,Consumer,-0.08244734813987087
2020-01-17,Consumer,-0.08199920488204693
2020-01-20,Consumer,-0.08361827634860408
2020-01-21,Consumer,-0.09753170254156729
2020-01-22,Consumer,-0.09136276100268881
2020-01-23,Consumer,-0.07898456269402876
2020-01-24,Consumer,-0.0663446009957015
2020-01-27,Consumer,-0.07067093562826221
2020-01-28,Consumer,-0.06847807823040752
2020-01-29,Consumer,-0.06240809490314159
2020-01-30,Consumer,-0.06667098497833956
2020-01-31,Consumer,-0.06238451872607631
2020-02-03,Consumer,-0.059917718654316054
2020-02-04,Consumer,-0.0589516251465525
2020-02-05,Consumer,-0.06855183312358293
2020-02-06,Consumer,-0.061298043111569944
2020-02-07,Consumer,-0.042613943708849744
2020-02-10,Consumer,-0.033082623834954306
2020-02-11,Consumer,-0.016334550523089963
2020-02-12,Consumer,-0.04106883882537271
2020-02-13,Consumer,-0.02820581929495314
2020-02-14,Consumer,-0.02210152678977928
2020-02-17,Consumer,-0.014688600710857869
2020-02-18,Consumer,-0.029841190774769655
2020-02-19,Consumer,-0.032679202743201685
2020-02-20,Consumer,-0.02198017074790637
2020-02-21,Consumer,-0.029305754091005
2020-02-24,Consumer,-0.02650787707011948
2020-02-25,Consumer,-0.02438493853152479
2020-02-26,Consumer,-0.02152749738271187
2020-02-27,Consumer,-0.020493358946468643
2020-02-28,Consumer,-0.0322008801053445
2020-03-02,Consumer,-0.03874915162730053
2020-03-03,Consumer,-0.041402318067203514
2020-03-04,Consumer,-0.053483597299514685
2020-03-05,Consumer,-0.04292894794032387
2020-03-06,Consumer,-0.05228209875635503
2020-03-09,Consumer,-0.042294497315251034
2020-03-10,Consumer,-0.0482383636888597
2020-03-11,Consumer,-0.04221579241504381
2020-03-12,Consumer,-0.05833018683368196
2020-03-13,Consumer,-0.04261600917305497
2020-03-16,Consumer,-0.0269908355269749
2020-03-17,Consumer,-0.03307745428690523
2020-03-18,Consumer,-0.04200849661989359
2020-03-19,Consumer,-0.037774869197527594
2020-03-20,Consumer,-0.05503327845046335
2020-03-23,Consumer,-0.052072956793946634
2020-03-24,Consumer,-0.052412409992692255
2020-03-25,Consumer,-0.05763242734388341
2020-03-26,Consumer,-0.06652693316300728
2020-03-27,Consumer,-0.0699128374162381
2020-03-30,Consumer,-0.05581628317000642
2020-03-31,Consumer,-0.049261354570459104
2020-04-01,Consumer,-0.06375321539289203
2020-04-02,Consumer,-0.07791341062665225
2020-04-03,Consumer,-0.0671977090633954
2020-04-06,Consumer,-0.050948954756606324
2020-04-07,Consumer,-0.06385587836481033
2020-04-08,Consumer,-0.05581829961830276
2020-04-09,Consumer,-0.053494299985378135
2020-04-10,Consumer,-0.07128378441828032
2020-04-13,Consumer,-0.07407674004289999
2020-04-14,Consumer,-0.07145491425491357
2020-04-15,Consumer,-0.07646981086605797
2020-04-16,Consumer,-0.09601098685608933
2020-04-17,Consumer,-0.10111802108813617
2020-04-20,Consumer,-0.10442391415441898
2020-04-21,Consumer,-0.1120201009615519
2020-04-22,Consumer,-0.11989975499523098
2020-04-23,Consumer,-0.11592398476588361
2020-04-24,Consumer,-0.1139945773057619
2020-04-27,Consumer,-0.09595614421802545
2020-04-28,Consumer,-0.08343492022615517
2020-04-29,Consumer,-0.07516124531956614
2020-04-30,Consumer,-0.07955908631630615
2020-05-01,Consumer,-0.0913473337746259
2020-05-04,Consumer,-0.08616567264550556
2020-05-05,Consumer,-0.0895416199759369
2020-05-06,Consumer,-0.07915701441802236
2020-05-07,Consumer,-0.08493153695697742
2020-05-08,Consumer,-0.07458523741922451
2020-05-11,Consumer,-0.07863207618734402
2020-05-12,Consumer,-0.07765315896724301
2020-05-13,Consumer,-0.07391057071924279
2020-05-14,Consumer,-0.06675183653593209
2020-05-15,Consumer,-0.06272375541775399
2020-05-18,Consumer,-0.0658409764259793
2020-05-19,Consumer,-0.057579525640011675
2020-05-20,Consumer,-0.05622764966081728
2020-05-21,Consumer,-0.044633090995354396
2020-05-22,Consumer,-0.03534144925250238
2020-05-25,Consumer,-0.020152195431214603
2020-05-26,Consumer,-0.02290294348204036
2020-05-27,Consumer,-0.009909921387651677
2020-05-28,Consumer,-0.01028417715241603
2020-05-29,Consumer,-0.022069917318859877
2020-06-01,Consumer,-0.02464272743442797
2020-06-02,Consumer,-0.025091362455451405
2020-06-03,Consumer,-0.0159764526358116
2020-06-04,Consumer,-0.02332770962381603
2020-06-05,Consumer,-0.02724276656860425
2020-06-08,Consumer,-0.03201313296327646
2020-06-09,Consumer,-0.032680923067281764
2020-06-10,Consumer,-0.05055819516922044
2020-06-11,Consumer,-0.07449937276567842
2020-06-12,Consumer,-0.0798748000494175
2020-06-15,Consumer,-0.07459164514537331
2020-06-16,Consumer,-0.0752859891059261
2020-06-17,Consumer,-0.08687258847639545
2020-06-18,Consumer,-0.10295977256490008
2020-06-19,Consumer,-0.10502237758116628
2020-06-22,Consumer,-0.1143139539519098
2020-06-23,Consumer,-0.1071120493967993
2020-06-24,Consumer,-0.09646858287010784
2020-06-25,Consumer,-0.10012083326516363
2020-06-26,Consumer,-0.09856746504247049
2020-06-29,Consumer,-0.1046092555188376
2020-06-30,Consumer,-0.10256584219531428
2020-07-01,Consumer,-0.0983224235119673
2020-07-02,Consumer,-0.08394838191545839
2020-07-03,Consumer,-0.08377589111543315
2020-07-06,Consumer,-0.08536091458876072
2020-07-07,Consumer,-0.08897653369417491
2020-07-08,Consumer,-0.0916450871341119
2020-07-09,Consumer,-0.10395950160033274
2020-07-10,Consumer,-0.10209368553662468
2020-07-13,Consumer,-0.10227580468099606
2020-07-14,Consumer,-0.097155928819739
2020-07-15,Consumer,-0.08451255266451807
2020-07-16,Consumer,-0.08366342211942968
2020-07-17,Consumer,-0.10535175660064788
2020-07-20,Consumer,-0.11809979528683046
2020-07-21,Consumer,-0.12285145437146816
2020-07-22,Consumer,-0.11479921394608383
2020-07-23,Consumer,-0.10523774859086843
2020-07-24,Consumer,-0.1066671024207575
2020-07-27,Consumer,-0.08071895964847609
2020-07-28,Consumer,-0.061063763350953426
2020-07-29,Consumer,-0.0523207437161447
2020-07-30,Consumer,-0.04066367317042807
2020-07-31,Consumer,-0.03427787530395732
2020-08-03,Consumer,-0.03176855176078053
2020-08-04,Consumer,-0.04894670002529855
2020-08-05,Consumer,-0.054777598857115084
2020-08-06,Consumer,-0.048805941592010904
2020-08-07,Consumer,-0.049896417814467964
2020-08-10,Consumer,-0.05013751242456199
2020-08-11,Consumer,-0.052559590136642576
2020-08-12,Consumer,-0.07914073168926439
2020-08-13,Consumer,-0.07103844098947198
2020-08-14,Consumer,-0.06362634717995697
2020-08-17,Consumer,-0.06931679662080037
2020-08-18,Consumer,-0.06196230520407442
2020-08-19,Consumer,-0.07381471617290247
2020-08-20,Consumer,-0.07236703120909282
2020-08-21,Consumer,-0.06680149985465789
2020-08-24,Consumer,-0.07366565858411744
2020-08-25,Consumer,-0.09206890703726733
2020-08-26,Consumer,-0.10448643864580498
2020-08-27,Consumer,-0.10418038561898924
2020-08-28,Consumer,-0.10440710661690389
2020-08-31,Consumer,-0.1056605623778486
2020-09-01,Consumer,-0.11136733795607012
2020-09-02,Consumer,-0.1223569508315544
2020-09-03,Consumer,-0.12281794904744192
2020-09-04,Consumer,-0.12549801977549424
2020-09-07,Consumer,-0.11947107123156597
2020-09-08,Consumer,-0.13126573138454012
2020-09-09,Consumer,-0.15322367624715094
2020-09-10,Consumer,-0.17376467578539068
2020-09-11,Consumer,-0.1740756302770935
2020-09-14,Consumer,-0.16947271990654034
2020-09-15,Consumer,-0.16835237261562286
2020-09-16,Consumer,-0.1728064363466134
2020-09-17,Consumer,-0.18222356202345524
2020-09-18,Consumer,-0.19526734734988083
2020-09-21,Consumer,-0.18723489530502269
2020-09-22,Consumer,-0.19063044168164534
2020-09-23,Consumer,-0.19290434105417098
2020-09-24,Consumer,-0.20793778047064748
2020-09-25,Consumer,-0.21401112851630089
2020-09-28,Consumer,-0.21186652502561
2020-09-29,Consumer,-0.20690727561309452
2020-09-30,Consumer,-0.21017278629897862
2020-10-01,Consumer,-0.19611232112866483
2020-10-02,Consumer,-0.20386858215431436
2020-10-05,Consumer,-0.1915747401843756
2020-10-06,Consumer,-0.1879475488696063
2020-10-07,Consumer,-0.18572852922243555
2020-10-08,Consumer,-0.1729477034348048
2020-10-09,Consumer,-0.1801844523458398
2020-10-12,Consumer,-0.18421352381729095
2020-10-13,Consumer,-0.19462589926018903
2020-10-14,Consumer,-0.18942618350935492
2020-10-15,Consumer,-0.1868256368744582
2020-10-16,Consumer,-0.17744583705980355
2020-10-19,Consumer,-0.17829847948357658
2020-10-20,Consumer,-0.16771989261933307
2020-10-21,Consumer,-0.17417420422710694
2020-10-22,Consumer,-0.16508851029089144
2020-10-23,Consumer,-0.17125271946532472
2020-10-26,Consumer,-0.16919450581677953
2020-10-27,Consumer,-0.1627520038844421
2020-10-28,Consumer,-0.14524800492454149
2020-10-29,Consumer,-0.13114123437585345
2020-10-30,Consumer,-0.1211177355323515
2020-11-02,Consumer,-0.1271763557148391
2020-11-03,Consumer,-0.12560667351063926
2020-11-04,Consumer,-0.12319482412284422
2020-11-05,Consumer,-0.10518039332986084
2020-11-06,Consumer,-0.10280767415878367
2020-11-09,Consumer,-0.08816102248019209
2020-11-10,Consumer,-0.09479181873249964
2020-11-11,Consumer,-0.0762238261272985
2020-11-12,Consumer,-0.08220691612535391
2020-11-13,Consumer,-0.07267892969248047
2020-11-16,Consumer,-0.08627830614204213
2020-11-17,Consumer,-0.08025772030226197
2020-11-18,Consumer,-0.0898407565908873
2020-11-19,Consumer,-0.07635702199407635
2020-11-20,Consumer,-0.06324332105847774
2020-11-23,Consumer,-0.07221245052042846
2020-11-24,Consumer,-0.06825978534157584
2020-11-25,Consumer,-0.05733075404307353
2020-11-26,Consumer,-0.06959011468706822
2020-11-27,Consumer,-0.08086836152292276
2020-11-30,Consumer,-0.09172506778875378
2020-12-01,Consumer,-0.10606208826421382
2020-12-02,Consumer,-0.12158926052717778
2020-12-03,Consumer,-0.11020280703112728
2020-12-04,Consumer,-0.09799579070922027
2020-12-07,Consumer,-0.11075522018709938
2020-12-08,Consumer,-0.11191961134340767
2020-12-09,Consumer,-0.12950003062244564
2020-12-10,Consumer,-0.12665702660914901
2020-12-11,Consumer,-0.13287782383341984
2020-12-14,Consumer,-0.14963543837078885
2020-12-15,Consumer,-0.14588941468873584
2020-12-16,Consumer,-0.14429689552770353
2020-12-17,Consumer,-0.1552577321070555
2020-12-18,Consumer,-0.1604798185458699
2020-12-21,Consumer,-0.1678587584806397
2020-12-22,Consumer,-0.1559341211580254
2020-12-23,Consumer,-0.16203476091431868
2020-12-24,Consumer,-0.16828208369452058
2020-12-25,Consumer,-0.1591041131829104
2020-12-28,Consumer,-0.16138326083244603
2020-12-29,Consumer,-0.15584649983176002
2020-12-30,Consumer,-0.1476693832402226
2020-12-31,Consumer,-0.13325645597687008
2021-01-01,Consumer,-0.14210263545756963
2021-01-04,Consumer,-0.13926638356053644
2021-01-05,Consumer,-0.12398889183542061
2021-01-06,Consumer,-0.10973414574434226
2021-01-07,Consumer,-0.11677886342693466
2021-01-08,Consumer,-0.1158934120502424
2021-01-11,Consumer,-0.10529225201256087
2021-01-12,Consumer,-0.09112431293238321
2021-01-13,Consumer,-0.08558488888629567
2021-01-14,Consumer,-0.09894842834191175
2021-01-15,Consumer,-0.10714944714181007
2021-01-18,Consumer,-0.09740674662692106
2021-01-19,Consumer,-0.09501972527671942
2021-01-20,Consumer,-0.12117227200495517
2021-01-21,Consumer,-0.13652933094938924
2021-01-22,Consumer,-0.13328802461168532
2021-01-25,Consumer,-0.12480309090845887
2021-01-26,Consumer,-0.1319446922275117
2021-01-27,Consumer,-0.12175306507506234
2021-01-28,Consumer,-0.1257691474706918
2021-01-29,Consumer,-0.12917391734840655
2021-02-01,Consumer,-0.13601847703451586
2021-02-02,Consumer,-0.14814195472530756
2021-02-03,Consumer,-0.15349517616873776
2021-02-04,Consumer,-0.16340129694622219
2021-02-05,Consumer,-0.16415690920784187
2021-02-08,Consumer,-0.15991483652128047
2021-02-09,Consumer,-0.17588158197948345
2021-02-10,Consumer,-0.17286856473244616
2021-02-11,Consumer,-0.1814122506824567
2021-02-12,Consumer,-0.1765068792743163
2021-02-15,Consumer,-0.19951714109944818
2021-02-16,Consumer,-0.19510671643639232
2021-02-17,Consumer,-0.20920292146141162
2021-02-18,Consumer,-0.20728971515915073
2021-02-19,Consumer,-0.2094945896817445
2021-02-22,Consumer,-0.2139785334253168
2021-02-23,Consumer,-0.22762941731995534
2021-02-24,Consumer,-0.21602139604015935
2021-02-25,Consumer,-0.22971288323995998
2021-02-26,Consumer,-0.23766977921446109
2021-03-01,Consumer,-0.2191862335479604
2021-03-02,Consumer,-0.21382543395784304
2021-03-03,Consumer,-0.22008080646533856
2021-03-04,Consumer,-0.21939164975203662
2021-03-05,Consumer,-0.217525515958356
2021-03-08,Consumer,-0.23356939837710378
2021-03-09,Consumer,-0.23684127906657682
2021-03-10,Consumer,-0.2361977040160611
2021-03-11,Consumer,-0.22913521318674102
2021-03-12,Consumer,-0.23165708262816131
2021-03-15,Consumer,-0.23604728358156135
2021-03-16,Consumer,-0.24372827380653173
2021-03-17,Consumer,-0.2369941974284029
2021-03-18,Consumer,-0.23241517004428658
2021-03-19,Consumer,-0.2273948368762716
2021-03-22,Consumer,-0.22597341158363637
2021-03-23,Consumer,-0.23650627136310876
2021-03-24,Consumer,-0.22498857853199938
2021-03-25,Consumer,-0.22757520274161458
2021-03-26,Consumer,-0.23229652567721726
2021-03-29,Consumer,-0.22984157266759464
2021-03-30,Consumer,-0.22582198282429955
2021-03-31,Consumer,-0.22932075239031713
2021-04-01,Consumer,-0.22846389673144174
2021-04-02,Consumer,-0.24665443322534708
2021-04-05,Consumer,-0.24650188827482666
2021-04-06,Consumer,-0.23067902402013096
2021-04-07,Consumer,-0.24578510130553521
2021-04-08,Consumer,-0.2403738949946317
2021-04-09,Consumer,-0.23626711526743183
2021-04-12,Consumer,-0.23063288597156495
2021-04-13,Consumer,-0.23519290128755166
2021-04-14,Consumer,-0.2426478730705941
2021-04-15,Consumer,-0.24227881489980685
2021-04-16,Consumer,-0.231209345763701
2021-04-19,Consumer,-0.24757095195549483
2021-04-20,Consumer,-0.2559897691321984
2021-04-21,Consumer,-0.2570856514069846
2021-04-22,Consumer,-0.26333618833308914
2021-04-23,Consumer,-0.2624217705331897
2021-04-26,Consumer,-0.25407528700674153
2021-04-27,Consumer,-0.2634774754316449
2021-04-28,Consumer,-0.2722523244187659
2021-04-29,Consumer,-0.2735542900062554
2021-04-30,Consumer,-0.27994231981756035
2021-05-03,Consumer,-0.29306364639634974
2021-05-04,Consumer,-0.2981358970493325
2021-05-05,Consumer,-0.30454095840983486
2021-05-06,Consumer,-0.3001855326069801
2021-05-07,Consumer,-0.2949807981415419
2021-05-10,Consumer,-0.30758404247535054
2021-05-11,Consumer,-0.30990962492228213
2021-05-12,Consumer,-0.3118291626860542
2021-05-13,Consumer,-0.2962655278848534
2021-05-14,Consumer,-0.29381191797481854
2021-05-17,Consumer,-0.30275742159696295
2021-05-18,Consumer,-0.3063597832023571
2021-05-19,Consumer,-0.3075039505067584
2021-05-20,Consumer,-0.30520718215593423
2021-05-21,Consumer,-0.2999949843108939
2021-05-24,Consumer,-0.30157593381877
2021-05-25,Consumer,-0.30045509682530536
2021-05-26,Consumer,-0.30406234036354296
2021-05-27,Consumer,-0.30115696924794266
2021-05-28,Consumer,-0.31334363763726547
2021-05-31,Consumer,-0.31105845555721867
2021-06-01,Consumer,-0.3160649681889698
2021-06-02,Consumer,-0.3281691787965666
2021-06-03,Consumer,-0.31129887417385005
2021-06-04,Consumer,-0.3066932366895506
2021-06-07,Consumer,-0.3113971115798527
2021-06-08,Consumer,-0.3129102628329201
2021-06-09,Consumer,-0.30961053251918647
2021-06-10,Consumer,-0.3172013653226502
2021-06-11,Consumer,-0.31983542446877666
2021-06-14,Consumer,-0.32954334520680484
2021-06-15,Consumer,-0.3262269832856908
2021-06-16,Consumer,-0.33098184012258447
2021-06-17,Consumer,-0.32191992164963235
2021-06-18,Consumer,-0.3254444547502434
2021-06-21,Consumer,-0.31992998204874434
2021-06-22,Consumer,-0.3183591757345944
2021-06-23,Consumer,-0.30942254829668203
2021-06-24,Consumer,-0.3149275759160203
2021-06-25,Consumer,-0.3033036577707666
2021-06-28,Consumer,-0.3154919578443348
2021-06-29,Consumer,-0.3167381517093789
2021-06-30,Consumer,-0.31542477592725726
2021-07-01,Consumer,-0.31959161687954885
2021-07-02,Consumer,-0.32450982563896247
2021-07-05,Consumer,-0.3280275671607239
2021-07-06,Consumer,-0.32814742549576026
2021-07-07,Consumer,-0.33322887025627934
2021-07-08,Consumer,-0.33400953760690844
2021-07-09,Consumer,-0.3367510153057388
2021-07-12,Consumer,-0.3425677498232925
2021-07-13,Consumer,-0.3452379557742702
2021-07-14,Consumer,-0.34181465760811724
2021-07-15,Consumer,-0.3367476898983427
2021-07-16,Consumer,-0.3298447422123728
2021-07-19,Consumer,-0.3261013330758553
2021-07-20,Consumer,-0.3218926805970236
2021-07-21,Consumer,-0.3193953382771525
2021-07-22,Consumer,-0.3246805176590941
2021-07-23,Consumer,-0.31443199621147977
2021-07-26,Consumer,-0.32349912331390085
2021-07-27,Consumer,-0.33602432744298494
2021-07-28,Consumer,-0.3429606661744752
2021-07-29,Consumer,-0.33255838728282594
2021-07-30,Consumer,-0.3347266368159493
2021-08-02,Consumer,-0.33068949750140253
2021-08-03,Consumer,-0.33546366062128385
2021-08-04,Consumer,-0.330623701773174
2021-08-05,Consumer,-0.33169583376820555
2021-08-06,Consumer,-0.33361795913735626
2021-08-09,Consumer,-0.32966254180358623
2021-08-10,Consumer,-0.33439123199800247
2021-08-11,Consumer,-0.33477641525875823
2021-08-12,Consumer,-0.33931384462443814
2021-08-13,Consumer,-0.3380755362379144
2021-08-16,Consumer,-0.3394633658854167
2021-08-17,Consumer,-0.3416140340589283
2021-08-18,Consumer,-0.346890328071081
2021-08-19,Consumer,-0.33832285103710424
2021-08-20,Consumer,-0.34960630118231883
2021-08-23,Consumer,-0.346159413478494
2021-08-24,Consumer,-0.3527718308849681
2021-08-25,Consumer,-0.3503712181812234
2021-08-26,Consumer,-0.36004093495992595
2021-08-27,Consumer,-0.35860953423121233
2021-08-30,Consumer,-0.36013202916292564
2021-08-31,Consumer,-0.37764044119332174
2021-09-01,Consumer,-0.369097047844833
2021-09-02,Consumer,-0.36022853002250543
2021-09-03,Consumer,-0.3613841103666018
2021-09-06,Consumer,-0.3659708327727512
2021-09-07,Consumer,-0.3614635721830459
2021-09-08,Consumer,-0.36738980504128105
2021-09-09,Consumer,-0.38012593739140776
2021-09-10,Consumer,-0.38668279322783516
2021-09-13,Consumer,-0.3946199328771127
2021-09-14,Consumer,-0.4027998370828304
2021-09-15,Consumer,-0.4071919697524957
2021-09-16,Consumer,-0.408897245375195
2021-09-17,Consumer,-0.41064963509126073
2021-09-20,Consumer,-0.42307437121715075
2021-09-21,Consumer,-0.4201284827445315
2021-09-22,Consumer,-0.4186577419263815
2021-09-23,Consumer,-0.42354211462345226
2021-09-24,Consumer,-0.4141651449933358
2021-09-27,Consumer,-0.4164410891967323
2021-09-28,Consumer,-0.4148191375286364
2021-09-29,Consumer,-0.4091574292504967
